contract_id,player_id,age,service_time,contract_year,duration,value,contract_type,position,stats_year,stats_window,bat_games,bat_plate_appearances,bat_at_bats,bat_hits,bat_doubles,bat_triples,bat_home_runs,bat_runs,bat_rbis,bat_stolen_bases,bat_caught_stealing,bat_walks,bat_strikeouts,bat_batting_avg,bat_on_base_pct,bat_slugging_pct,bat_ops,bat_wrc_plus,bat_war,bat_babip,bat_iso,bat_bb_pct,bat_k_pct,bat_hard_hit_pct,bat_barrel_pct,pit_games,pit_games_started,pit_innings_pitched,pit_wins,pit_losses,pit_saves,pit_holds,pit_strikeouts,pit_walks,pit_hits_allowed,pit_home_runs_allowed,pit_era,pit_whip,pit_k_per_9,pit_bb_per_9,pit_fip,pit_xfip,pit_siera,pit_war,pit_k_pct,pit_bb_pct,pit_k_bb_ratio,pit_ground_ball_pct,pit_fly_ball_pct,pit_hard_hit_pct
Happ_5326_2011,Happ_5326,28,2.047,2011,1,0.474,pre-arb,SP,2010,1,16,30,26,0,0,0,0,0,0,0,0,1,9,0.0,0.037,0.0,0.037,-85.0,-0.3,0.0,0.0,0.033,0.3,,,16,16,87.1,6,4,0,0,70,47,73,8,3.4,1.37,7.21,4.84,4.31,4.63,4.71,1.0,0.187,0.126,1.49,0.39,0.434,
Richard_5206_2011,Richard_5206,27,2.07,2011,1,0.4688,pre-arb,SP,2010,1,33,72,61,9,2,0,0,5,5,0,0,1,21,0.148,0.172,0.18,0.352,-4.0,0.0,0.22,0.033,0.013999999999999999,0.292,,,33,33,201.2,14,9,0,0,153,78,206,16,3.75,1.41,6.83,3.48,3.81,4.04,4.22,2.2,0.17800000000000002,0.091,1.96,0.461,0.342,
McGehee_5286_2011,McGehee_5286,28,2.028,2011,1,0.468,pre-arb,3B,2010,1,157,670,610,174,38,1,23,70,104,1,1,50,102,0.285,0.337,0.464,0.801,113.0,2.8,0.306,0.179,0.075,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duensing_7438_2011,Duensing_7438,28,1.104,2011,1,0.4625,pre-arb,RP,2010,1,53,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,1.0,,,53,13,130.2,10,3,0,9,78,35,122,11,2.62,1.2,5.37,2.41,3.85,3.96,3.98,1.4,0.146,0.065,2.23,0.529,0.315,
Latos_7505_2011,Latos_7505,23,1.079,2011,1,0.4607,pre-arb,SP,2010,1,31,63,54,6,2,0,1,3,3,0,0,0,29,0.111,0.111,0.204,0.315,-21.0,-0.1,0.208,0.093,0.0,0.46,,,31,31,184.2,14,10,0,0,189,50,150,16,2.92,1.08,9.21,2.44,3.0,3.2,3.14,4.2,0.253,0.067,3.78,0.447,0.40399999999999997,
Robertson_7466_2011,Robertson_7466,26,2.07,2011,1,0.46045,pre-arb,RP,2010,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,64,0,61.1,4,5,1,14,71,33,59,5,3.82,1.5,10.42,4.84,3.58,3.66,3.37,0.7,0.26,0.121,2.15,0.396,0.358,
Feliz_7556_2011,Feliz_7556,23,1.064,2011,1,0.45716,pre-arb,RP,2010,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,70,0,69.1,4,3,40,3,71,18,43,5,2.73,0.88,9.22,2.34,2.96,3.5,2.75,2.0,0.264,0.067,3.94,0.368,0.483,
Jones_7484_2011,Jones_7484,30,1.158,2011,1,0.4555,pre-arb,RF,2010,1,158,654,592,146,34,1,21,64,86,7,3,53,123,0.247,0.306,0.414,0.72,95.0,-0.2,0.274,0.167,0.081,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCutchen_7489_2011,McCutchen_7489,24,1.123,2011,1,0.4525,pre-arb,CF,2010,1,154,653,570,163,35,5,16,94,56,33,10,70,89,0.286,0.365,0.449,0.814,124.0,3.4,0.311,0.163,0.107,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wieters_7247_2011,Wieters_7247,25,1.129,2011,1,0.45225,pre-arb,C,2010,1,130,502,446,111,22,1,11,37,55,0,1,47,94,0.249,0.319,0.377,0.695,84.0,2.7,0.287,0.128,0.094,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrus_5396_2011,Andrus_5396,22,2.0,2011,1,0.45218,pre-arb,SS,2010,1,148,674,588,156,15,3,0,88,35,32,15,64,96,0.265,0.342,0.301,0.643,75.0,2.1,0.317,0.036,0.095,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niese_7456_2011,Niese_7456,24,1.107,2011,1,0.452,pre-arb,RP,2010,1,31,66,53,10,2,0,0,3,4,0,0,8,27,0.189,0.295,0.226,0.521,52.0,0.5,0.385,0.038,0.121,0.409,,,30,30,173.2,9,10,0,0,148,62,192,20,4.2,1.46,7.67,3.21,4.1,3.8,3.87,1.9,0.192,0.081,2.39,0.47700000000000004,0.318,
Stubbs_7290_2011,Stubbs_7290,26,1.047,2011,1,0.45,pre-arb,CF,2010,1,150,583,514,131,19,6,22,91,77,30,6,55,168,0.255,0.329,0.444,0.773,105.0,3.4,0.33,0.189,0.094,0.28800000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowrie_5192_2011,Lowrie_5192,27,2.111,2011,1,0.45,pre-arb,2B,2010,1,55,197,171,49,14,0,9,31,24,1,1,25,25,0.287,0.381,0.526,0.907,144.0,2.0,0.292,0.24,0.127,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumgarner_7510_2011,Bumgarner_7510,21,0.127,2011,1,0.45,pre-arb,SP,2010,1,20,44,39,7,1,0,0,2,3,0,0,2,11,0.179,0.22,0.205,0.425,17.0,0.1,0.25,0.026,0.045,0.25,,,18,18,111.0,7,6,0,0,86,26,119,11,3.0,1.31,6.97,2.11,3.65,3.85,3.8,1.7,0.182,0.055,3.31,0.451,0.38,
Romo_5359_2011,Romo_5359,28,2.097,2011,1,0.45,pre-arb,RP,2010,1,68,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,1.0,,,68,0,62.0,5,3,0,21,70,14,46,6,2.18,0.97,10.16,2.03,2.95,3.27,2.47,1.2,0.28300000000000003,0.057,5.0,0.35,0.51,
Gregerson_5339_2011,Gregerson_5339,27,2.0,2011,1,0.4478,pre-arb,RP,2010,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,80,0,78.1,4,7,2,40,89,18,47,8,3.22,0.83,10.23,2.07,2.86,2.61,2.17,1.3,0.3,0.061,4.94,0.484,0.371,
Venable_7508_2011,Venable_7508,28,1.155,2011,1,0.4444,pre-arb,CF,2010,1,131,445,392,96,11,7,13,60,51,29,7,45,128,0.245,0.324,0.408,0.732,101.0,2.3,0.324,0.163,0.10099999999999999,0.28800000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narveson_7371_2011,Narveson_7371,29,1.102,2011,1,0.44415,pre-arb,RP,2010,1,37,59,49,16,1,0,0,3,7,0,0,2,15,0.327,0.365,0.347,0.712,98.0,0.8,0.471,0.02,0.034,0.254,,,37,28,167.2,12,9,0,3,137,59,172,21,4.99,1.38,7.35,3.17,4.22,4.15,4.08,1.2,0.18899999999999997,0.081,2.32,0.39799999999999996,0.42,
